name,url,season,stats
Leicester City,https://www.premierleague.com/en/clubs/13/leicester-city/stats,2024/2025,"[{'Games Played': '38', 'Goals': '33', 'Goals Conceded': '80', 'XG': '32.75', 'Shots': '222', 'Shots On Target': '111', 'Shots On Target Inside the Box': '113', 'Shots On Target Outside the Box': '58', 'Touches in the Opposition Box': '662', 'Penalties Taken (Scored)': '3 (2)', 'Free Kicks Scored': '8', 'Hit Woodwork': '10', 'Crosses (Completed %)': '449 (20%)', 'Interceptions': '327', 'Blocks': '198', 'Clearances': '954', 'Penalties Saved (%)': '1 (25%)', 'Passes': '15,960', 'Long Passes (Completed %)': '1,825 (38%)', 'Corners Taken': '141', 'Dribbles (Completed %)': '569 (46%)', 'Duels Won': '1,888', 'Aerial Duels Won': '513', 'Red Cards': '0', 'Yellow Cards': '87', 'Fouls': '420', 'Offsides': '63'}]"
Liverpool,https://www.premierleague.com/en/clubs/14/liverpool/stats,2024/2025,"[{'Games Played': '38', 'Goals': '86', 'Goals Conceded': '41', 'XG': '83.46', 'Shots': '462', 'Shots On Target': '231', 'Shots On Target Inside the Box': '230', 'Shots On Target Outside the Box': '96', 'Touches in the Opposition Box': '1,425', 'Penalties Taken (Scored)': '9 (9)', 'Free Kicks Scored': '11', 'Hit Woodwork': '22', 'Crosses (Completed %)': '474 (22%)', 'Interceptions': '299', 'Blocks': '97', 'Clearances': '693', 'Penalties Saved (%)': '1 (50%)', 'Passes': '20,108', 'Long Passes (Completed %)': '1,784 (47%)', 'Corners Taken': '253', 'Dribbles (Completed %)': '611 (49%)', 'Duels Won': '1,708', 'Aerial Duels Won': '409', 'Red Cards': '3', 'Yellow Cards': '65', 'Fouls': '430', 'Offsides': '60', 'Own Goals': '1'}]"
Manchester City,https://www.premierleague.com/en/clubs/43/manchester-city/stats,2024/2025,"[{'Games Played': '38', 'Goals': '72', 'Goals Conceded': '44', 'XG': '69.16', 'Shots': '434', 'Shots On Target': '217', 'Shots On Target Inside the Box': '183', 'Shots On Target Outside the Box': '137', 'Touches in the Opposition Box': '1,432', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored (Scored)': '21 (1)', 'Hit Woodwork': '18', 'Crosses (Completed %)': '447 (21%)', 'Interceptions': '229', 'Blocks': '89', 'Clearances': '587', 'Passes': '22,973', 'Long Passes (Completed %)': '1,369 (57%)', 'Corners Taken': '253', 'Dribbles (Completed %)': '678 (56%)', 'Duels Won': '1,567', 'Aerial Duels Won': '313', 'Red Cards': '2', 'Yellow Cards': '57', 'Fouls': '287', 'Offsides': '45', 'Own Goals': '1'}]"
Manchester United,https://www.premierleague.com/en/clubs/1/manchester-united/stats,2024/2025,"[{'Games Played': '38', 'Goals': '44', 'Goals Conceded': '54', 'XG': '53.46', 'Shots': '350', 'Shots On Target': '175', 'Shots On Target Inside the Box': '194', 'Shots On Target Outside the Box': '109', 'Touches in the Opposition Box': '1,035', 'Penalties Taken (Scored)': '4 (4)', 'Free Kicks Scored (Scored)': '15 (2)', 'Hit Woodwork': '15', 'Crosses (Completed %)': '435 (22%)', 'Interceptions': '358', 'Blocks': '107', 'Clearances': '725', 'Penalties Saved (%)': '1 (25%)', 'Passes': '18,922', 'Long Passes (Completed %)': '1,859 (46%)', 'Corners Taken': '200', 'Dribbles (Completed %)': '575 (44%)', 'Duels Won': '1,926', 'Aerial Duels Won': '495', 'Red Cards': '3', 'Yellow Cards': '84', 'Fouls': '403', 'Offsides': '69', 'Own Goals': '2'}]"
Newcastle United,https://www.premierleague.com/en/clubs/4/newcastle-united/stats,2024/2025,"[{'Games Played': '38', 'Goals': '68', 'Goals Conceded': '47', 'XG': '65.36', 'Shots': '350', 'Shots On Target': '175', 'Shots On Target Inside the Box': '182', 'Shots On Target Outside the Box': '80', 'Touches in the Opposition Box': '1,160', 'Penalties Taken (Scored)': '6 (5)', 'Free Kicks Scored': '14', 'Hit Woodwork': '14', 'Crosses (Completed %)': '489 (21%)', 'Interceptions': '270', 'Blocks': '141', 'Clearances': '826', 'Penalties Saved (%)': '1 (50%)', 'Passes': '17,172', 'Long Passes (Completed %)': '1,575 (43%)', 'Corners Taken': '218', 'Dribbles (Completed %)': '580 (49%)', 'Duels Won': '1,822', 'Aerial Duels Won': '501', 'Red Cards': '1', 'Yellow Cards': '68', 'Fouls': '394', 'Offsides': '71', 'Own Goals': '2'}]"
Nottingham Forest,https://www.premierleague.com/en/clubs/17/nottingham-forest/stats,2024/2025,"[{'Games Played': '38', 'Goals': '58', 'Goals Conceded': '46', 'XG': '46.51', 'Shots': '332', 'Shots On Target': '166', 'Shots On Target Inside the Box': '141', 'Shots On Target Outside the Box': '93', 'Touches in the Opposition Box': '834', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored': '15', 'Hit Woodwork': '9', 'Crosses (Completed %)': '419 (21%)', 'Interceptions': '322', 'Blocks': '157', 'Clearances': '1,183', 'Passes': '12,956', 'Long Passes (Completed %)': '1,871 (41%)', 'Corners Taken': '160', 'Dribbles (Completed %)': '492 (53%)', 'Duels Won': '1,946', 'Aerial Duels Won': '578', 'Red Cards': '2', 'Yellow Cards': '86', 'Fouls': '401', 'Offsides': '91', 'Own Goals': '1'}]"
Southampton,https://www.premierleague.com/en/clubs/20/southampton/stats,2024/2025,"[{'Games Played': '38', 'Goals': '26', 'Goals Conceded': '86', 'XG': '33.22', 'Shots': '222', 'Shots On Target': '111', 'Shots On Target Inside the Box': '149', 'Shots On Target Outside the Box': '64', 'Touches in the Opposition Box': '728', 'Penalties Taken': '2', 'Free Kicks Scored': '7', 'Hit Woodwork': '13', 'Crosses (Completed %)': '364 (20%)', 'Interceptions': '305', 'Blocks': '201', 'Clearances': '953', 'Penalties Saved (%)': '2 (22%)', 'Passes': '17,299', 'Long Passes (Completed %)': '1,656 (44%)', 'Corners Taken': '152', 'Dribbles (Completed %)': '645 (48%)', 'Duels Won': '1,855', 'Aerial Duels Won': '474', 'Red Cards': '3', 'Yellow Cards': '89', 'Fouls': '459', 'Offsides': '49', 'Own Goals': '1'}]"
Tottenham Hotspur,https://www.premierleague.com/en/clubs/6/tottenham-hotspur/stats,2024/2025,"[{'Games Played': '38', 'Goals': '64', 'Goals Conceded': '65', 'XG': '59.7', 'Shots': '370', 'Shots On Target': '185', 'Shots On Target Inside the Box': '181', 'Shots On Target Outside the Box': '83', 'Touches in the Opposition Box': '1,074', 'Penalties Taken (Scored)': '4 (3)', 'Free Kicks Scored (Scored)': '13 (1)', 'Hit Woodwork': '15', 'Crosses (Completed %)': '532 (20%)', 'Interceptions': '322', 'Blocks': '159', 'Clearances': '775', 'Passes': '18,248', 'Long Passes (Completed %)': '1,334 (44%)', 'Corners Taken': '243', 'Dribbles (Completed %)': '733 (42%)', 'Duels Won': '1,874', 'Aerial Duels Won': '428', 'Red Cards': '1', 'Yellow Cards': '70', 'Fouls': '446', 'Offsides': '63', 'Own Goals': '3'}]"
West Ham United,https://www.premierleague.com/en/clubs/21/west-ham-united/stats,2024/2025,"[{'Games Played': '38', 'Goals': '46', 'Goals Conceded': '62', 'XG': '48.14', 'Shots': '292', 'Shots On Target': '146', 'Shots On Target Inside the Box': '170', 'Shots On Target Outside the Box': '80', 'Touches in the Opposition Box': '882', 'Penalties Taken (Scored)': '3 (3)', 'Free Kicks Scored (Scored)': '14 (1)', 'Hit Woodwork': '17', 'Crosses (Completed %)': '435 (21%)', 'Interceptions': '331', 'Blocks': '169', 'Clearances': '998', 'Passes': '16,891', 'Long Passes (Completed %)': '2,003 (45%)', 'Corners Taken': '154', 'Dribbles (Completed %)': '707 (49%)', 'Duels Won': '1,986', 'Aerial Duels Won': '594', 'Red Cards': '3', 'Yellow Cards': '78', 'Fouls': '443', 'Offsides': '73', 'Own Goals': '3'}]"
Wolverhampton Wanderers,https://www.premierleague.com/en/clubs/39/wolverhampton-wanderers/stats,2024/2025,"[{'Games Played': '38', 'Goals': '54', 'Goals Conceded': '69', 'XG': '44.18', 'Shots': '320', 'Shots On Target': '160', 'Shots On Target Inside the Box': '133', 'Shots On Target Outside the Box': '84', 'Touches in the Opposition Box': '771', 'Free Kicks Scored (Scored)': '18 (1)', 'Hit Woodwork': '11', 'Crosses (Completed %)': '403 (23%)', 'Interceptions': '298', 'Blocks': '137', 'Clearances': '902', 'Penalties Saved (%)': '2 (22%)', 'Passes': '16,402', 'Long Passes (Completed %)': '1,915 (43%)', 'Corners Taken': '148', 'Dribbles (Completed %)': '639 (51%)', 'Duels Won': '2,001', 'Aerial Duels Won': '455', 'Red Cards': '2', 'Yellow Cards': '75', 'Fouls': '480', 'Offsides': '62', 'Own Goals': '1'}]"
